class_key,class_name_cn,group_key,group_role,base_priority,allow_when_ai_locked,max_questions_per_round,activation_condition,class_gate_type,class_switch_allowed,unknown_switch_policy,ai_locked_confirm_penalty,pseudo_symptom_allowed,data_status,data_source,audit_note,followup_mode_v1,class_level_allows_runtime_v1,group_runtime_eligibility_rule,asset_validation_required,asset_validation_minimum,semantic_admission_required,partial_runtime_penalty_rule,effective_runtime_v1,runtime_block_reason,asset_status,codex_action_required
fungal_leaf_spot_mode,真菌性叶斑模式,leaf_spot_texture_group,exclude,76,True,1,需要排除表层附着物或组织湿烂时,soft,True,switch_group_after_2_unknown,0.08,False,audited,https://extension.umd.edu/resource/fungal-leaf-spots-indoor-plants | https://hgic.clemson.edu/factsheet/houseplant-diseases-disorders/,按最终版规范收紧后，推荐 role=exclude，priority=76，gate=soft。,full,True,资产未通过前禁止进入 v1 运行时；需先完成 group/question/text/option 存在性核查。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,False,asset_not_verified,missing_or_unverified,verify_group_asset_existence_and_texts
fungal_leaf_spot_mode,真菌性叶斑模式,leaf_surface_residue_group,exclude,72,True,1,黑色/褐色表面层疑似残留物时,soft,True,switch_group_after_2_unknown,0.08,False,audited,https://extension.umd.edu/resource/fungal-leaf-spots-indoor-plants | https://hgic.clemson.edu/factsheet/houseplant-diseases-disorders/,按最终版规范收紧后，推荐 role=exclude，priority=72，gate=soft。,full,True,资产未通过前禁止进入 v1 运行时；需先完成 group/question/text/option 存在性核查。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,False,asset_not_verified,missing_or_unverified,verify_group_asset_existence_and_texts
bacterial_leaf_spot_mode,细菌性叶斑模式,bacterial_spot_group,differentiate,100,True,2,出现角形斑、水渍感、扩展快时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://extension.umd.edu/resource/bacterial-leaf-spots-indoor-plants | https://content.ces.ncsu.edu/black-rot-of-brassicas,按最终版规范收紧后，推荐 role=differentiate，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
bacterial_leaf_spot_mode,细菌性叶斑模式,leaf_margin_necrosis_context_group,differentiate,78,True,1,叶缘坏死接近细菌性 V 形病斑时,soft,True,switch_group_after_2_unknown,0.05,True,partial,https://extension.umd.edu/resource/bacterial-leaf-spots-indoor-plants | https://content.ces.ncsu.edu/black-rot-of-brassicas,按最终版规范收紧后，推荐 role=differentiate，priority=78，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
mite_damage_mode,螨类损伤模式,spider_mites_group,confirm,96,True,2,细网、点刺黄点、发铜失绿时,soft,False,deprioritize_after_1_unknown,0.25,False,partial,https://www.rhs.org.uk/biodiversity/glasshouse-red-spider-mite | https://extension.msstate.edu/publications/insect-pests-houseplants,按最终版规范收紧后，推荐 role=confirm，priority=96，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
mite_damage_mode,螨类损伤模式,piercing_sucking_group,exclude,72,True,1,只有点刺失绿、无细网时,soft,True,switch_group_after_2_unknown,0.08,False,audited,https://www.rhs.org.uk/biodiversity/glasshouse-red-spider-mite | https://extension.msstate.edu/publications/insect-pests-houseplants,按最终版规范收紧后，推荐 role=exclude，priority=72，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
thrips_damage_mode,蓟马损伤模式,thrips_group,differentiate,100,True,2,银斑、擦伤、嫩叶畸形时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://ipm.ucanr.edu/home-and-landscape/thrips/ | https://extension.umd.edu/resource/thrips-home-gardens,按最终版规范收紧后，推荐 role=differentiate，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
thrips_damage_mode,蓟马损伤模式,leaf_twist_context_group,differentiate,74,True,1,叶扭曲但虫体不明确时,soft,True,switch_group_after_2_unknown,0.05,True,partial,https://ipm.ucanr.edu/home-and-landscape/thrips/ | https://extension.umd.edu/resource/thrips-home-gardens,按最终版规范收紧后，推荐 role=differentiate，priority=74，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
thrips_damage_mode,蓟马损伤模式,yellowing_patchy_context_group,differentiate,72,True,1,斑驳黄化但不均匀时,soft,True,switch_group_after_2_unknown,0.05,True,partial,https://ipm.ucanr.edu/home-and-landscape/thrips/ | https://extension.umd.edu/resource/thrips-home-gardens,按最终版规范收紧后，推荐 role=differentiate，priority=72，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
sap_sucking_honeydew_pest_mode,蜜露型刺吸害虫模式,honeydew_pests_group,confirm,90,False,1,AI 命中黏液/煤污/蜜露相关 symptom,soft,False,deprioritize_after_1_unknown,0.35,False,partial,https://ipm.ucanr.edu/home-and-landscape/aphids/ | https://ipm.ucanr.edu/home-and-landscape/whiteflies/ | https://ipm.ucanr.edu/home-and-landscape/scales/ | https://ipm.ucanr.edu/home-and-landscape/mealybugs/ | https://ipm.ucanr.edu/home-and-landscape/sooty-mold/,按最终版规范收紧后，推荐 role=confirm，priority=90，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
sap_sucking_honeydew_pest_mode,蜜露型刺吸害虫模式,aphids_group,differentiate,96,True,2,嫩梢群集小虫、卷叶、蜜露时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://ipm.ucanr.edu/home-and-landscape/aphids/ | https://ipm.ucanr.edu/home-and-landscape/whiteflies/ | https://ipm.ucanr.edu/home-and-landscape/scales/ | https://ipm.ucanr.edu/home-and-landscape/mealybugs/ | https://ipm.ucanr.edu/home-and-landscape/sooty-mold/,按最终版规范收紧后，推荐 role=differentiate，priority=96，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
sap_sucking_honeydew_pest_mode,蜜露型刺吸害虫模式,whiteflies_group,differentiate,94,True,2,轻碰飞白虫、叶背若虫、蜜露时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://ipm.ucanr.edu/home-and-landscape/aphids/ | https://ipm.ucanr.edu/home-and-landscape/whiteflies/ | https://ipm.ucanr.edu/home-and-landscape/scales/ | https://ipm.ucanr.edu/home-and-landscape/mealybugs/ | https://ipm.ucanr.edu/home-and-landscape/sooty-mold/,按最终版规范收紧后，推荐 role=differentiate，priority=94，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
sap_sucking_honeydew_pest_mode,蜜露型刺吸害虫模式,scale_group,differentiate,92,True,2,壳状附着虫体、蜜露、煤污时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://ipm.ucanr.edu/home-and-landscape/aphids/ | https://ipm.ucanr.edu/home-and-landscape/whiteflies/ | https://ipm.ucanr.edu/home-and-landscape/scales/ | https://ipm.ucanr.edu/home-and-landscape/mealybugs/ | https://ipm.ucanr.edu/home-and-landscape/sooty-mold/,按最终版规范收紧后，推荐 role=differentiate，priority=92，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
sap_sucking_honeydew_pest_mode,蜜露型刺吸害虫模式,black_mold_growth_confirm_group,context,70,True,1,出现煤污黑层时,soft,True,deprioritize_after_2_unknown,0.1,False,partial,https://ipm.ucanr.edu/home-and-landscape/aphids/ | https://ipm.ucanr.edu/home-and-landscape/whiteflies/ | https://ipm.ucanr.edu/home-and-landscape/scales/ | https://ipm.ucanr.edu/home-and-landscape/mealybugs/ | https://ipm.ucanr.edu/home-and-landscape/sooty-mold/,按最终版规范收紧后，推荐 role=context，priority=70，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
root_rot_wet_wilt_mode,湿土萎蔫/根腐模式,root_rot_group,differentiate,100,True,2,湿土萎蔫、烂味、黑根、糊根时,soft,True,switch_group_after_2_unknown,0.05,True,audited,https://extension.umd.edu/resource/root-rots-indoor-plants | https://hort.extension.wisc.edu/articles/root-rots-houseplants/,按最终版规范收紧后，推荐 role=differentiate，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
root_rot_wet_wilt_mode,湿土萎蔫/根腐模式,edema_group,exclude,78,True,1,过湿但更像生理性水肿时,soft,True,switch_group_after_2_unknown,0.08,True,audited,https://extension.umd.edu/resource/root-rots-indoor-plants | https://hort.extension.wisc.edu/articles/root-rots-houseplants/,按最终版规范收紧后，推荐 role=exclude，priority=78，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
root_rot_wet_wilt_mode,湿土萎蔫/根腐模式,blackened_stem_base_confirm_group,differentiate,82,True,1,茎基部发黑塌陷时,soft,True,switch_group_after_2_unknown,0.05,True,audited,https://extension.umd.edu/resource/root-rots-indoor-plants | https://hort.extension.wisc.edu/articles/root-rots-houseplants/,按最终版规范收紧后，推荐 role=differentiate，priority=82，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
root_rot_wet_wilt_mode,湿土萎蔫/根腐模式,blackened_stem_base_context_group,context,74,True,1,基部变黑同时需补根区背景时,soft,True,deprioritize_after_2_unknown,0.1,True,partial,https://extension.umd.edu/resource/root-rots-indoor-plants | https://hort.extension.wisc.edu/articles/root-rots-houseplants/,按最终版规范收紧后，推荐 role=context，priority=74，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
soil_moisture_pest_mode,盆土潮湿/土传小飞虫模式,fungus_gnat_group,differentiate,100,True,2,土表小飞虫、表土久湿时,soft,True,switch_group_after_2_unknown,0.05,True,audited,https://extension.umn.edu/product-and-houseplant-pests/fungus-gnats | https://ipm.ucanr.edu/home-and-landscape/houseplant-problems/,按最终版规范收紧后，推荐 role=differentiate，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
soil_moisture_pest_mode,盆土潮湿/土传小飞虫模式,fungus_gnat_context_group,context,82,True,1,真菌蚊方向已成立后,soft,True,deprioritize_after_2_unknown,0.1,True,audited,https://extension.umn.edu/product-and-houseplant-pests/fungus-gnats | https://ipm.ucanr.edu/home-and-landscape/houseplant-problems/,按最终版规范收紧后，推荐 role=context，priority=82，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
soil_moisture_pest_mode,盆土潮湿/土传小飞虫模式,stem_collapse_context_group,context,68,True,1,茎塌陷但更像介质过湿诱发时,soft,True,deprioritize_after_2_unknown,0.1,True,partial,https://extension.umn.edu/product-and-houseplant-pests/fungus-gnats | https://ipm.ucanr.edu/home-and-landscape/houseplant-problems/,按最终版规范收紧后，推荐 role=context，priority=68，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
soft_rot_mode,软腐塌陷模式,soft_stem_confirm_group,confirm,100,True,1,茎软烂是首症状时,soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://hort.extension.wisc.edu/articles/bacterial-soft-rot/ | https://www.canr.msu.edu/news/bacterial_soft_rot,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
soft_rot_mode,软腐塌陷模式,water_soaked_stem_confirm_group,differentiate,94,True,1,水浸状茎组织时,soft,True,switch_group_after_2_unknown,0.05,False,partial,https://hort.extension.wisc.edu/articles/bacterial-soft-rot/ | https://www.canr.msu.edu/news/bacterial_soft_rot,按最终版规范收紧后，推荐 role=differentiate，priority=94，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
soft_rot_mode,软腐塌陷模式,stem_collapse_confirm_group,differentiate,92,True,1,组织塌陷明显时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://hort.extension.wisc.edu/articles/bacterial-soft-rot/ | https://www.canr.msu.edu/news/bacterial_soft_rot,按最终版规范收紧后，推荐 role=differentiate，priority=92，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
soft_rot_mode,软腐塌陷模式,soft_stem_context_group,context,70,True,1,软腐已可疑时,soft,True,deprioritize_after_2_unknown,0.1,True,audited,https://hort.extension.wisc.edu/articles/bacterial-soft-rot/ | https://www.canr.msu.edu/news/bacterial_soft_rot,按最终版规范收紧后，推荐 role=context，priority=70，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
chewing_pest_mode,咀嚼取食模式,holes_in_leaf_confirm_group,confirm,96,True,1,叶片穿孔最显著时,soft,False,deprioritize_after_1_unknown,0.25,False,partial,https://ipm.ucanr.edu/agriculture/floriculture-and-ornamental-nurseries/pest-insects-mites-slugs-and-snails-arthropods-and-the-probable-causes/ | https://ipm.ucanr.edu/home-and-landscape/snails-and-slugs/,按最终版规范收紧后，推荐 role=confirm，priority=96，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
chewing_pest_mode,咀嚼取食模式,chewed_edges_confirm_group,differentiate,88,True,1,叶缘缺刻最显著时,soft,True,switch_group_after_2_unknown,0.05,False,partial,https://ipm.ucanr.edu/agriculture/floriculture-and-ornamental-nurseries/pest-insects-mites-slugs-and-snails-arthropods-and-the-probable-causes/ | https://ipm.ucanr.edu/home-and-landscape/snails-and-slugs/,按最终版规范收紧后，推荐 role=differentiate，priority=88，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
chewing_pest_mode,咀嚼取食模式,skeletonized_leaves_confirm_group,differentiate,92,True,1,叶肉被吃剩叶脉时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://ipm.ucanr.edu/agriculture/floriculture-and-ornamental-nurseries/pest-insects-mites-slugs-and-snails-arthropods-and-the-probable-causes/ | https://ipm.ucanr.edu/home-and-landscape/snails-and-slugs/,按最终版规范收紧后，推荐 role=differentiate，priority=92，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
leafminer_mode,潜叶虫模式,tunnels_in_leaf_confirm_group,confirm,100,True,1,叶内潜道明显时,soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://ipm.ucanr.edu/agriculture/lettuce/leafminers/ | https://ipm.ucanr.edu/PMG/GARDEN/VEGES/PESTS/vegleafminers.html,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
powdery_mildew_mode,白粉层模式,powdery_group,confirm,100,True,2,白粉覆盖明显时,soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://www.rhs.org.uk/disease/powdery-mildews,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
gray_mold_mode,灰霉层模式,gray_mold_group,confirm,100,True,2,灰色绒毛霉层明显时,strong_soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://extension.umd.edu/resource/gray-mold-or-botrytis-blight-indoor-plants | https://extension.psu.edu/botrytis-or-gray-mold/,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=strong_soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
rust_mode,锈病模式,rust_group,confirm,100,True,2,锈色孢子堆明显时,strong_soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://www.rhs.org.uk/disease/rust-diseases,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=strong_soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
light_stress_mode,光照模式,leaf_bleaching_confirm_group,confirm,100,True,1,晒白/漂白斑明显时,soft,False,deprioritize_after_1_unknown,0.25,False,audited,https://www.rhs.org.uk/prevention-protection/leaf-damage-on-houseplants | https://www.rhs.org.uk/plants/types/houseplants/how-to-help-a-poorly-houseplant,按最终版规范收紧后，推荐 role=confirm，priority=100，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
